cell_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
colony-21277,4,0,5,-1,-1,-1,8,0,5,8,0,0,8,0,8,0,2,8,0,0,6,8,3,0,0,0,1,0,0,1,8,4,8,0,0,1,7,7,0,4,0,3,4,0,8,8,0,0
colony-21280,4,0,5,5,0,5,8,3,0,8,0,8,-1,-1,-1,-1,-1,-1,0,0,6,-1,-1,-1,0,1,1,-1,-1,-1,8,3,8,0,0,1,7,0,1,4,0,8,0,0,8,8,8,0
colony-21281,1,8,5,5,8,5,8,0,0,3,5,0,1,0,6,3,2,8,8,8,6,8,3,8,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,7,4,3,4,0,2,3,2,8,0,0,0
colony-21283,4,0,5,-1,-1,-1,8,3,0,-1,-1,-1,1,5,6,0,2,8,0,0,6,-1,-1,-1,-1,-1,-1,0,2,1,-1,-1,-1,0,0,1,7,0,1,4,0,0,0,0,8,8,8,0
colony-21284,0,0,1,5,8,8,0,0,0,-1,-1,-1,0,7,5,8,8,1,0,3,1,-1,-1,-1,0,0,0,0,0,0,8,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,0
colony-21285,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,7,5,2,5,3,0,3,1,8,4,5,3,2,1,0,0,0,8,0,0,0,0,5,7,7,1,0,7,1,1,5,8,0,5,0
colony-21286,4,0,5,5,0,5,8,0,0,-1,-1,-1,8,0,6,0,2,8,0,7,6,8,3,0,-1,-1,-1,0,0,1,8,4,8,-1,-1,-1,7,4,8,-1,-1,-1,4,0,8,8,0,0
colony-21287,8,5,0,5,0,5,0,0,0,0,3,0,8,4,5,2,8,3,5,5,1,1,2,0,0,8,5,4,0,5,8,8,5,-1,-1,-1,7,5,2,6,6,8,1,5,8,0,5,0
colony-21288,4,0,5,5,8,5,0,0,0,0,0,8,1,0,8,-1,-1,-1,8,8,6,8,3,1,-1,-1,-1,0,3,1,-1,-1,-1,-1,-1,-1,7,4,0,4,0,2,3,2,8,0,0,0
colony-21289,-1,-1,-1,-1,-1,-1,8,3,0,8,4,0,0,5,6,0,2,8,0,0,6,8,3,0,0,0,1,0,2,1,8,3,8,0,0,1,7,0,1,4,0,0,0,0,8,8,8,0
colony-21290,4,0,5,5,8,5,4,0,0,4,1,1,1,0,8,0,2,8,8,8,6,8,3,8,3,8,1,2,8,1,-1,-1,-1,0,8,5,7,4,0,4,0,2,3,3,1,0,0,0
colony-21291,4,0,5,-1,-1,-1,0,0,3,-1,-1,-1,5,0,8,-1,-1,-1,8,8,6,8,3,0,3,8,1,5,7,1,-1,-1,-1,8,0,5,7,4,8,4,0,2,3,2,8,0,0,0
colony-21293,4,0,5,5,5,5,8,3,0,8,4,0,0,5,6,0,2,8,0,0,6,-1,-1,-1,0,0,1,-1,-1,-1,8,3,8,-1,-1,-1,7,0,1,4,0,0,0,0,8,-1,-1,-1
