cell_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
4T1_preedited-2737,2,4,2,6,2,1,8,1,7,8,5,8,4,7,5,2,5,7,1,4,7,8,5,1,2,5,1,2,5,7,-1,-1,-1,5,5,2,1,2,6,1,5,7,-1,-1,-1,7,1,1,-1,-1,-1,3,1,8,3,8,5,8,8,4
4T1_preedited-2740,2,4,2,6,2,1,8,1,7,8,5,8,4,7,5,1,7,8,1,4,1,8,5,1,2,5,1,3,2,3,3,4,2,5,5,2,1,2,6,1,2,3,-1,-1,-1,7,1,1,4,2,8,3,3,8,3,8,5,8,8,0
4T1_preedited-2742,2,4,2,6,2,1,8,1,7,2,5,1,4,7,5,1,5,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,5,5,2,1,2,6,-1,-1,-1,-1,-1,-1,7,1,1,4,2,8,3,3,8,3,8,5,8,0,5
4T1_preedited-2762,2,4,2,6,2,1,8,1,7,8,5,8,4,7,5,-1,-1,-1,1,4,8,2,5,1,2,5,1,3,2,3,3,4,2,5,5,2,1,2,6,1,2,3,8,4,2,7,1,1,-1,-1,-1,3,3,8,3,8,5,2,5,1
4T1_preedited-2835,2,4,7,6,2,1,-1,-1,-1,-1,-1,-1,4,7,5,1,7,8,1,4,8,8,5,1,-1,-1,-1,3,2,3,3,4,2,5,5,2,2,2,5,1,2,3,-1,-1,-1,7,1,1,-1,-1,-1,2,3,7,1,5,5,2,5,1
4T1_preedited-2862,2,4,2,6,2,1,2,1,7,8,5,8,4,7,5,1,7,8,1,4,8,-1,-1,-1,2,5,1,-1,-1,-1,-1,-1,-1,5,5,2,1,2,6,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,3,0,5,8,8,4
4T1_preedited-2912,2,4,2,6,2,1,8,1,7,8,5,8,4,7,5,2,5,7,-1,-1,-1,2,5,1,-1,-1,-1,3,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,3,8,5,-1,-1,-1
4T1_preedited-3031,2,4,2,6,2,1,-1,-1,-1,8,5,8,4,5,5,1,7,8,2,5,7,-1,-1,-1,2,5,1,-1,-1,-1,-1,-1,-1,5,5,2,-1,-1,-1,-1,-1,-1,8,4,2,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-3055,2,4,2,-1,-1,-1,8,5,7,2,5,8,-1,-1,-1,1,7,8,1,4,8,-1,-1,-1,2,5,1,3,2,3,3,4,2,5,5,2,1,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,8,3,3,8,-1,-1,-1,8,8,4
4T1_preedited-3130,2,4,2,6,2,1,-1,-1,-1,8,5,8,4,7,5,1,7,8,1,4,8,-1,-1,-1,2,5,7,3,2,3,0,0,7,2,5,2,1,2,6,1,2,3,-1,-1,-1,7,1,1,-1,-1,-1,1,1,8,-1,-1,-1,2,8,4
4T1_preedited-3185,2,4,2,6,2,1,8,1,7,-1,-1,-1,2,5,7,1,5,1,1,4,8,8,5,1,-1,-1,-1,3,2,3,3,4,2,5,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,1,4,2,8,-1,-1,-1,3,8,5,8,8,4
4T1_preedited-3201,2,4,2,-1,-1,-1,0,1,7,2,5,8,4,7,5,1,7,8,1,5,1,8,5,1,2,5,1,3,2,3,3,4,2,5,5,2,1,2,6,-1,-1,-1,-1,-1,-1,7,1,1,-1,-1,-1,3,3,8,3,8,5,8,0,5
4T1_preedited-3203,2,4,2,-1,-1,-1,2,1,7,2,5,1,5,7,5,1,7,8,1,4,8,-1,-1,-1,2,5,1,1,5,0,3,4,2,-1,-1,-1,-1,-1,-1,1,2,3,-1,-1,-1,7,1,1,-1,-1,-1,3,3,8,3,8,5,8,8,4
4T1_preedited-3290,2,4,2,-1,-1,-1,8,1,7,2,5,7,4,7,5,1,7,8,1,4,8,2,5,1,2,5,1,3,2,3,3,4,2,5,5,2,2,5,7,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,-1,-1,-1,2,5,7
4T1_preedited-3309,2,4,2,6,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,8,2,4,7,8,5,1,2,5,1,-1,-1,-1,1,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,7,7,1,1,2,0,7,3,3,8,1,5,7,8,8,4
4T1_preedited-3350,-1,-1,-1,6,2,1,8,1,7,8,5,8,-1,-1,-1,1,7,8,1,4,8,8,5,7,-1,-1,-1,-1,-1,-1,3,4,2,5,5,2,1,2,6,1,2,0,8,4,2,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-3381,-1,-1,-1,6,2,1,-1,-1,-1,2,5,1,4,7,5,1,5,8,2,4,1,8,5,1,-1,-1,-1,1,2,3,3,4,2,5,5,2,-1,-1,-1,-1,-1,-1,2,4,8,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-3386,2,4,2,2,2,1,8,1,7,8,5,8,8,7,5,1,7,8,2,4,8,-1,-1,-1,2,5,1,3,2,3,3,4,2,5,5,2,1,2,6,-1,-1,-1,-1,-1,-1,7,1,1,5,2,8,-1,-1,-1,3,8,5,-1,-1,-1
4T1_preedited-3421,-1,-1,-1,-1,-1,-1,8,1,7,8,5,8,8,5,5,-1,-1,-1,1,4,8,8,5,1,2,5,1,-1,-1,-1,3,4,2,5,5,2,-1,-1,-1,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,3,8,5,8,4,4
4T1_preedited-3458,2,4,2,-1,-1,-1,8,1,7,8,5,8,-1,-1,-1,1,7,8,2,4,7,8,0,1,2,5,1,2,2,3,3,4,2,2,5,7,1,2,6,-1,-1,-1,8,4,2,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-3462,2,4,2,6,2,1,8,1,7,2,5,8,4,7,5,1,7,8,1,4,8,8,5,1,2,5,1,1,5,3,3,4,2,2,5,2,1,2,6,-1,-1,-1,8,4,2,7,1,1,8,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-3466,2,4,2,-1,-1,-1,8,1,7,8,5,8,4,7,7,2,7,1,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,2,5,2,1,2,6,-1,-1,-1,8,4,2,7,1,1,4,2,8,3,1,8,3,8,5,8,8,4
4T1_preedited-3477,-1,-1,-1,-1,-1,-1,2,1,7,8,5,8,2,5,7,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,2,5,2,1,2,8,-1,-1,-1,2,0,7,7,1,1,-1,-1,-1,1,1,1,3,8,5,2,0,5
4T1_preedited-35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,0,8,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,6,1,2,3,-1,-1,-1,-1,-1,-1,4,2,8,-1,-1,-1,3,8,5,-1,-1,-1
4T1_preedited-3597,2,4,2,-1,-1,-1,8,1,7,-1,-1,-1,4,7,5,2,5,7,1,4,8,8,5,1,-1,-1,-1,3,2,3,7,4,7,-1,-1,-1,1,2,6,1,2,3,-1,-1,-1,7,1,1,4,2,8,3,3,8,3,8,5,6,2,1
4T1_preedited-3609,2,4,2,-1,-1,-1,8,1,7,8,5,8,8,5,7,1,5,8,1,4,8,8,5,1,2,5,1,3,2,0,2,0,7,2,5,2,-1,-1,-1,2,5,0,8,4,2,7,1,1,4,2,8,3,1,8,3,8,5,8,0,1
4T1_preedited-3612,2,4,2,6,2,1,-1,-1,-1,8,5,8,4,7,5,1,7,8,1,4,8,-1,-1,-1,2,5,1,3,2,3,3,4,2,5,5,2,-1,-1,-1,1,2,3,2,5,2,7,1,1,-1,-1,-1,3,3,8,3,8,5,2,5,5
4T1_preedited-3637,2,4,2,6,2,1,2,5,7,-1,-1,-1,-1,-1,-1,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,-1,-1,-1,-1,-1,-1,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,3,5,5,8,8,4
4T1_preedited-3737,-1,-1,-1,6,2,1,8,5,7,8,5,8,8,5,7,1,7,7,2,5,7,2,5,7,2,5,1,-1,-1,-1,3,4,2,2,5,7,2,2,6,1,2,3,-1,-1,-1,7,5,1,-1,-1,-1,3,3,8,2,6,0,2,5,5
4T1_preedited-376,2,4,7,-1,-1,-1,8,1,7,8,5,8,4,7,5,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,5,5,2,1,2,6,1,2,3,8,4,2,7,1,1,4,2,8,3,3,8,-1,-1,-1,2,0,7
4T1_preedited-3791,2,4,2,-1,-1,-1,8,1,7,8,5,8,4,7,5,-1,-1,-1,-1,-1,-1,8,5,1,2,5,1,3,2,3,2,4,2,5,5,2,-1,-1,-1,1,2,3,-1,-1,-1,7,1,1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-3792,2,4,2,6,2,1,2,5,7,8,5,8,4,5,7,1,7,8,1,4,8,8,5,1,2,5,1,3,2,3,3,4,2,5,5,2,1,2,6,1,2,3,2,4,2,-1,-1,-1,4,2,8,3,3,8,3,8,5,8,8,4
4T1_preedited-3832,2,4,2,-1,-1,-1,8,1,7,8,5,8,4,7,5,1,7,1,-1,-1,-1,8,5,1,2,5,1,3,2,3,3,4,2,2,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,1,4,2,8,-1,-1,-1,-1,-1,-1,8,8,4
