,identifier,noise,method,var_name,var_value
76,c30_noise0.0_rep4,0.0,LAML1,true_treeHeight,10.563452584841013
77,c30_noise0.0_rep4,0.0,LAML1,est_treeHeight,9.999999892556984
78,c30_noise0.0_rep4,0.0,LAML1,true_mutRate,0.10257778081460957
79,c30_noise0.0_rep4,0.0,LAML1,est_comp_mutRate,0.10835755355356047
80,c30_noise0.0_rep4,0.0,LAML1,manually_rescaled_lambda,0.08127115556213292
81,c30_noise0.0_rep4,0.0,LAML2,phi,0.10366486104927901
82,c30_noise0.0_rep4,0.0,LAML2,nu,6.442668357093742e-06
83,c30_noise0.0_rep4,0.0,LAML2,rho,0.9999999989467397
84,c30_noise0.0_rep4,0.0,LAML2,lambda,0.10318896001937736
85,c30_noise0.0_rep4,0.0,LAML2,true_treeHeight,10.563452584841013
86,c30_noise0.0_rep4,0.0,LAML2,est_treeHeight,9.999999967057816
87,c30_noise0.0_rep4,0.0,LAML2,true_mutRate,0.10257778081460957
88,c30_noise0.0_rep4,0.0,LAML2,est_comp_mutRate,0.10835755274628768
89,c30_noise0.0_rep4,0.0,LAML2,manually_rescaled_lambda,0.08125114962155698
90,c30_noise0.0_rep5,0.0,LAML1,phi,0.09366659314422951
91,c30_noise0.0_rep5,0.0,LAML1,nu,8.411948993069666e-07
92,c30_noise0.0_rep5,0.0,LAML1,llh,2068.3195929767694
93,c30_noise0.0_rep5,0.0,LAML1,lambda,0.11597112461993944
94,c30_noise0.0_rep5,0.0,LAML1,true_treeHeight,10.85777812924178
95,c30_noise0.0_rep5,0.0,LAML1,est_treeHeight,9.999999996530153
96,c30_noise0.0_rep5,0.0,LAML1,true_mutRate,0.09979716945726634
97,c30_noise0.0_rep5,0.0,LAML1,est_comp_mutRate,0.10835755242693264
98,c30_noise0.0_rep5,0.0,LAML1,manually_rescaled_lambda,0.09131584615743263
99,c30_noise0.0_rep5,0.0,LAML2,phi,0.09366664584374804
100,c30_noise0.0_rep5,0.0,LAML2,nu,9.068034021789706e-08
101,c30_noise0.0_rep5,0.0,LAML2,rho,0.9999999040789358
102,c30_noise0.0_rep5,0.0,LAML2,lambda,0.11596041209535675
103,c30_noise0.0_rep5,0.0,LAML2,true_treeHeight,10.85777812924178
104,c30_noise0.0_rep5,0.0,LAML2,est_treeHeight,9.999999994914235
105,c30_noise0.0_rep5,0.0,LAML2,true_mutRate,0.09979716945726634
106,c30_noise0.0_rep5,0.0,LAML2,est_comp_mutRate,0.10835755244444233
107,c30_noise0.0_rep5,0.0,LAML2,manually_rescaled_lambda,0.0913074110987061
108,c30_noise0.0_rep6,0.0,LAML1,phi,0.09499985566887986
109,c30_noise0.0_rep6,0.0,LAML1,nu,1.343671762718524e-06
110,c30_noise0.0_rep6,0.0,LAML1,llh,2121.264715174559
111,c30_noise0.0_rep6,0.0,LAML1,lambda,0.08520494561048435
112,c30_noise0.0_rep6,0.0,LAML1,true_treeHeight,12.450689299625536
113,c30_noise0.0_rep6,0.0,LAML1,est_treeHeight,9.99999982462386
114,c30_noise0.0_rep6,0.0,LAML1,true_mutRate,0.0870293602078667
115,c30_noise0.0_rep6,0.0,LAML1,est_comp_mutRate,0.10835755428966719
116,c30_noise0.0_rep6,0.0,LAML1,manually_rescaled_lambda,0.06709050835471209
117,c30_noise0.0_rep6,0.0,LAML2,phi,0.0949999914990064
118,c30_noise0.0_rep6,0.0,LAML2,nu,4.3089784863822035e-08
119,c30_noise0.0_rep6,0.0,LAML2,rho,0.9999996666020399
120,c30_noise0.0_rep6,0.0,LAML2,lambda,0.08523652732435419
121,c30_noise0.0_rep6,0.0,LAML2,true_treeHeight,12.450689299625536
122,c30_noise0.0_rep6,0.0,LAML2,est_treeHeight,9.999999981940531
123,c30_noise0.0_rep6,0.0,LAML2,true_mutRate,0.0870293602078667
124,c30_noise0.0_rep6,0.0,LAML2,est_comp_mutRate,0.10835755258502222
125,c30_noise0.0_rep6,0.0,LAML2,manually_rescaled_lambda,0.06711537584594818
126,c30_noise0.0_rep7,0.0,LAML1,phi,0.10766656189004796
127,c30_noise0.0_rep7,0.0,LAML1,nu,1.3527662744516338e-06
128,c30_noise0.0_rep7,0.0,LAML1,llh,1971.419502242658
129,c30_noise0.0_rep7,0.0,LAML1,lambda,0.09320381840045422
130,c30_noise0.0_rep7,0.0,LAML1,true_treeHeight,12.663572779414029
131,c30_noise0.0_rep7,0.0,LAML1,est_treeHeight,9.999999916280284
132,c30_noise0.0_rep7,0.0,LAML1,true_mutRate,0.08556633603865794
133,c30_noise0.0_rep7,0.0,LAML1,est_comp_mutRate,0.1083575532965006
134,c30_noise0.0_rep7,0.0,LAML1,manually_rescaled_lambda,0.07338883338618443
135,c30_noise0.0_rep7,0.0,LAML2,phi,0.10766593702164444
136,c30_noise0.0_rep7,0.0,LAML2,nu,4.637841091120315e-06
137,c30_noise0.0_rep7,0.0,LAML2,rho,0.9999999974352076
138,c30_noise0.0_rep7,0.0,LAML2,lambda,0.09356038671736439
139,c30_noise0.0_rep7,0.0,LAML2,true_treeHeight,12.663572779414029
140,c30_noise0.0_rep7,0.0,LAML2,est_treeHeight,10.0
141,c30_noise0.0_rep7,0.0,LAML2,true_mutRate,0.08556633603865794
142,c30_noise0.0_rep7,0.0,LAML2,est_comp_mutRate,0.10835755238933424
143,c30_noise0.0_rep7,0.0,LAML2,manually_rescaled_lambda,0.0736695958404444
144,c30_noise0.0_rep8,0.0,LAML1,phi,0.08699970635723114
145,c30_noise0.0_rep8,0.0,LAML1,nu,1.8239443644742472e-06
146,c30_noise0.0_rep8,0.0,LAML1,llh,2002.06902106687
147,c30_noise0.0_rep8,0.0,LAML1,lambda,0.1047109300273138
148,c30_noise0.0_rep8,0.0,LAML1,true_treeHeight,13.655446566699341
149,c30_noise0.0_rep8,0.0,LAML1,est_treeHeight,9.99999995106968
150,c30_noise0.0_rep8,0.0,LAML1,true_mutRate,0.07935115989071996
151,c30_noise0.0_rep8,0.0,LAML1,est_comp_mutRate,0.1083575529195312
152,c30_noise0.0_rep8,0.0,LAML1,manually_rescaled_lambda,0.0824495512026093
153,c30_noise0.0_rep8,0.0,LAML2,phi,0.08699617357494274
154,c30_noise0.0_rep8,0.0,LAML2,nu,1.686417644252463e-05
155,c30_noise0.0_rep8,0.0,LAML2,rho,0.9999999999994903
156,c30_noise0.0_rep8,0.0,LAML2,lambda,0.10465224330049186
157,c30_noise0.0_rep8,0.0,LAML2,true_treeHeight,13.655446566699341
158,c30_noise0.0_rep8,0.0,LAML2,est_treeHeight,9.999999975775784
159,c30_noise0.0_rep8,0.0,LAML2,true_mutRate,0.07935115989071996
160,c30_noise0.0_rep8,0.0,LAML2,est_comp_mutRate,0.10835755265182191
161,c30_noise0.0_rep8,0.0,LAML2,manually_rescaled_lambda,0.08240334118148965
162,c30_noise0.0_rep9,0.0,LAML1,phi,0.10266630078609014
163,c30_noise0.0_rep9,0.0,LAML1,nu,2.0796028659134455e-06
164,c30_noise0.0_rep9,0.0,LAML1,llh,1950.7140638604753
165,c30_noise0.0_rep9,0.0,LAML1,lambda,0.11381019936405268
166,c30_noise0.0_rep9,0.0,LAML1,true_treeHeight,12.35041565162531
167,c30_noise0.0_rep9,0.0,LAML1,est_treeHeight,9.99999992027718
168,c30_noise0.0_rep9,0.0,LAML1,true_mutRate,0.08773595597576056
169,c30_noise0.0_rep9,0.0,LAML1,est_comp_mutRate,0.10835755325319121
170,c30_noise0.0_rep9,0.0,LAML1,manually_rescaled_lambda,0.0896143302079155
171,c30_noise0.0_rep9,0.0,LAML2,phi,0.10266145573600537
172,c30_noise0.0_rep9,0.0,LAML2,nu,2.1864352511807064e-05
173,c30_noise0.0_rep9,0.0,LAML2,rho,1.0000000000000018
174,c30_noise0.0_rep9,0.0,LAML2,lambda,0.11406441808380056
175,c30_noise0.0_rep9,0.0,LAML2,true_treeHeight,12.35041565162531
176,c30_noise0.0_rep9,0.0,LAML2,est_treeHeight,9.999999945874324
177,c30_noise0.0_rep9,0.0,LAML2,true_mutRate,0.08773595597576056
178,c30_noise0.0_rep9,0.0,LAML2,est_comp_mutRate,0.10835755297582682
179,c30_noise0.0_rep9,0.0,LAML2,manually_rescaled_lambda,0.08981450242818943
180,c30_noise0.0_rep10,0.0,LAML1,phi,0.10733316553163709
181,c30_noise0.0_rep10,0.0,LAML1,nu,1.50885074471142e-06
182,c30_noise0.0_rep10,0.0,LAML1,llh,1636.9802698907447
183,c30_noise0.0_rep10,0.0,LAML1,lambda,0.14592058107855707
184,c30_noise0.0_rep10,0.0,LAML1,true_treeHeight,17.498753698838154
185,c30_noise0.0_rep10,0.0,LAML1,est_treeHeight,9.999999999156511
186,c30_noise0.0_rep10,0.0,LAML1,true_mutRate,0.0619230113493904
187,c30_noise0.0_rep10,0.0,LAML1,est_comp_mutRate,0.10835755239847408
188,c30_noise0.0_rep10,0.0,LAML1,manually_rescaled_lambda,0.11489809533744652
189,c30_noise0.0_rep10,0.0,LAML2,phi,0.10733251632784294
190,c30_noise0.0_rep10,0.0,LAML2,nu,3.897311641003338e-06
191,c30_noise0.0_rep10,0.0,LAML2,rho,1.000000000000004
192,c30_noise0.0_rep10,0.0,LAML2,lambda,0.1458370176702616
193,c30_noise0.0_rep10,0.0,LAML2,true_treeHeight,17.498753698838154
194,c30_noise0.0_rep10,0.0,LAML2,est_treeHeight,9.999999981533072
195,c30_noise0.0_rep10,0.0,LAML2,true_mutRate,0.0619230113493904
196,c30_noise0.0_rep10,0.0,LAML2,est_comp_mutRate,0.10835755258943733
197,c30_noise0.0_rep10,0.0,LAML2,manually_rescaled_lambda,0.11483229737815875
198,c30_noise0.0_rep11,0.0,LAML1,phi,0.10699982522368184
199,c30_noise0.0_rep11,0.0,LAML1,nu,1.329323122725859e-06
200,c30_noise0.0_rep11,0.0,LAML1,llh,2002.8944368644607
201,c30_noise0.0_rep11,0.0,LAML1,lambda,0.11802315616488217
202,c30_noise0.0_rep11,0.0,LAML1,true_treeHeight,12.605348828354629
203,c30_noise0.0_rep11,0.0,LAML1,est_treeHeight,9.999999996108249
204,c30_noise0.0_rep11,0.0,LAML1,true_mutRate,0.0859615658914519
205,c30_noise0.0_rep11,0.0,LAML1,est_comp_mutRate,0.10835755243150429
206,c30_noise0.0_rep11,0.0,LAML1,manually_rescaled_lambda,0.09293161902746629
207,c30_noise0.0_rep11,0.0,LAML2,phi,0.10699842106279117
208,c30_noise0.0_rep11,0.0,LAML2,nu,6.775465752797241e-06
209,c30_noise0.0_rep11,0.0,LAML2,rho,0.9995460894637554
210,c30_noise0.0_rep11,0.0,LAML2,lambda,0.11832570282018191
211,c30_noise0.0_rep11,0.0,LAML2,true_treeHeight,12.605348828354629
212,c30_noise0.0_rep11,0.0,LAML2,est_treeHeight,9.999999969657285
213,c30_noise0.0_rep11,0.0,LAML2,true_mutRate,0.0859615658914519
214,c30_noise0.0_rep11,0.0,LAML2,est_comp_mutRate,0.10835755271812046
215,c30_noise0.0_rep11,0.0,LAML2,manually_rescaled_lambda,0.09316984474030073
216,c30_noise0.0_rep12,0.0,LAML1,phi,0.08966649360658924
217,c30_noise0.0_rep12,0.0,LAML1,nu,1.0934352416601944e-06
218,c30_noise0.0_rep12,0.0,LAML1,llh,2438.2106010212788
219,c30_noise0.0_rep12,0.0,LAML1,lambda,0.09433111099217964
220,c30_noise0.0_rep12,0.0,LAML1,true_treeHeight,8.179794565107498
221,c30_noise0.0_rep12,0.0,LAML1,est_treeHeight,9.99999997020923
222,c30_noise0.0_rep12,0.0,LAML1,true_mutRate,0.13246977234801766
223,c30_noise0.0_rep12,0.0,LAML1,est_comp_mutRate,0.10835755271213973
224,c30_noise0.0_rep12,0.0,LAML1,manually_rescaled_lambda,0.07427646534817295
225,c30_noise0.0_rep12,0.0,LAML2,phi,0.08966578952894665
226,c30_noise0.0_rep12,0.0,LAML2,nu,3.4493263321305417e-06
227,c30_noise0.0_rep12,0.0,LAML2,rho,0.9999998663586457
228,c30_noise0.0_rep12,0.0,LAML2,lambda,0.09432556055048189
229,c30_noise0.0_rep12,0.0,LAML2,true_treeHeight,8.179794565107498
230,c30_noise0.0_rep12,0.0,LAML2,est_treeHeight,9.999999961111085
231,c30_noise0.0_rep12,0.0,LAML2,true_mutRate,0.13246977234801766
232,c30_noise0.0_rep12,0.0,LAML2,est_comp_mutRate,0.108357552810725
233,c30_noise0.0_rep12,0.0,LAML2,manually_rescaled_lambda,0.07427209492163929
234,c30_noise0.0_rep13,0.0,LAML1,phi,0.09266641751272163
235,c30_noise0.0_rep13,0.0,LAML1,nu,1.9294577941269634e-06
236,c30_noise0.0_rep13,0.0,LAML1,llh,1600.9468464287443
237,c30_noise0.0_rep13,0.0,LAML1,lambda,0.13578266200118855
238,c30_noise0.0_rep13,0.0,LAML1,true_treeHeight,16.674020712606787
239,c30_noise0.0_rep13,0.0,LAML1,est_treeHeight,9.999999993976715
240,c30_noise0.0_rep13,0.0,LAML1,true_mutRate,0.06498585689497673
241,c30_noise0.0_rep13,0.0,LAML1,est_comp_mutRate,0.10835755245460107
242,c30_noise0.0_rep13,0.0,LAML1,manually_rescaled_lambda,0.10691548189069966
243,c30_noise0.0_rep13,0.0,LAML2,phi,0.09266537759969534
244,c30_noise0.0_rep13,0.0,LAML2,nu,6.313228246384212e-06
245,c30_noise0.0_rep13,0.0,LAML2,rho,0.9999999999998871
246,c30_noise0.0_rep13,0.0,LAML2,lambda,0.13538298292153225
247,c30_noise0.0_rep13,0.0,LAML2,true_treeHeight,16.674020712606787
248,c30_noise0.0_rep13,0.0,LAML2,est_treeHeight,9.999999991396663
249,c30_noise0.0_rep13,0.0,LAML2,true_mutRate,0.06498585689497673
250,c30_noise0.0_rep13,0.0,LAML2,est_comp_mutRate,0.10835755248255788
251,c30_noise0.0_rep13,0.0,LAML2,manually_rescaled_lambda,0.10660077395396242
252,c30_noise0.0_rep14,0.0,LAML1,phi,0.10066640954912486
253,c30_noise0.0_rep14,0.0,LAML1,nu,1.8847051456020196e-06
254,c30_noise0.0_rep14,0.0,LAML1,llh,2064.5078776585415
