,cell_name,target_site,pub_geno,pub_pmax,lp_state
1264,colony-21734,7,0,0.968,0
1265,colony-21739,7,0,0.979,0
1266,colony-21740,7,0,1.0,0
1267,colony-21741,7,0,1.0,0
1268,colony-21742,7,3,0.999,3
1269,colony-21743,7,0,1.0,0
1270,colony-21744,7,3,1.0,3
1271,colony-21746,7,0,1.0,0
1272,colony-21750,7,0,1.0,0
1273,colony-21753,7,0,0.989,0
1274,colony-21754,7,0,1.0,0
1275,colony-21756,7,0,1.0,0
1276,colony-21757,7,7,0.905,7
1277,colony-21761,7,0,1.0,0
1278,colony-21763,7,0,1.0,0
1279,colony-21773,7,3,1.0,3
1280,colony-21774,7,0,1.0,0
1281,colony-21781,7,3,1.0,3
1282,colony-21783,7,0,1.0,0
1283,colony-21785,7,0,1.0,0
1284,colony-21790,7,3,0.987,3
1285,colony-21792,7,0,1.0,0
1286,colony-21795,7,0,0.991,0
1287,colony-21796,7,0,0.999,0
1288,colony-21797,7,3,1.0,3
1289,colony-21798,7,0,1.0,0
1290,colony-21799,7,0,1.0,0
1291,colony-21800,7,3,1.0,3
1292,colony-21801,7,8,1.0,8
1293,colony-21802,7,4,1.0,4
1294,colony-21803,7,3,1.0,3
1295,colony-21804,7,0,1.0,0
1296,colony-21805,7,0,1.0,0
1297,colony-21806,7,3,1.0,3
1298,colony-21807,7,3,1.0,3
1299,colony-21808,7,4,0.82,4
1300,colony-21812,7,1,1.0,1
1301,colony-21813,7,0,1.0,0
1302,colony-21814,7,0,1.0,0
1303,colony-21815,7,0,1.0,0
1304,colony-21816,7,3,1.0,3
1305,colony-21818,7,7,0.992,7
1306,colony-21819,7,0,1.0,0
1307,colony-21820,7,3,1.0,3
1308,colony-21821,7,0,1.0,0
1309,colony-21826,7,3,1.0,3
1310,colony-21829,7,3,0.999,3
1311,colony-21831,7,0,1.0,0
1312,colony-21832,7,0,1.0,0
1313,colony-21833,7,0,0.999,0
1314,colony-21835,7,3,1.0,3
1315,colony-21836,7,0,0.996,0
1316,colony-21838,7,4,0.995,4
1317,colony-21839,7,3,1.0,3
1318,colony-21840,7,3,1.0,3
1319,colony-21842,7,3,1.0,3
1320,colony-21844,7,0,1.0,0
1321,colony-21846,7,0,1.0,0
1322,colony-21848,7,0,1.0,0
1323,colony-21849,7,0,1.0,0
1324,colony-21850,7,4,0.917,4
1325,colony-21852,7,2,1.0,2
1326,colony-21853,7,3,1.0,3
1327,colony-21854,7,3,1.0,3
1328,colony-21856,7,0,1.0,0
1329,colony-21859,7,3,1.0,3
1330,colony-21861,7,3,1.0,3
1331,colony-21862,7,4,0.972,4
1332,colony-21863,7,0,1.0,0
1333,colony-21866,7,0,1.0,0
1334,colony-21868,7,3,1.0,3
1335,colony-21870,7,0,0.999,0
1336,colony-21871,7,0,1.0,0
1337,colony-21872,7,4,0.999,4
1338,colony-21875,7,0,1.0,0
1339,colony-21877,7,4,0.993,4
1340,colony-21878,7,0,0.999,0
1341,colony-21881,7,0,1.0,0
1342,colony-21882,7,0,0.983,0
1343,colony-21883,7,0,0.999,0
1344,colony-21884,7,3,1.0,3
1345,colony-21886,7,0,1.0,0
1346,colony-21887,7,0,1.0,0
1347,colony-21888,7,4,1.0,4
1348,colony-21891,7,4,0.992,4
1349,colony-21892,7,3,1.0,3
1350,colony-21896,7,0,1.0,0
1351,colony-21899,7,0,1.0,0
1352,colony-21901,7,2,1.0,2
1353,colony-21904,7,5,1.0,5
1354,colony-21917,7,0,0.999,0
1355,colony-21919,7,0,1.0,0
1356,colony-21920,7,0,1.0,0
1357,colony-21928,7,0,0.987,0
1358,colony-21930,7,0,0.994,0
1359,colony-21933,7,3,0.999,3
1360,colony-21934,7,3,0.988,3
1361,colony-21936,7,4,1.0,4
1362,colony-21938,7,0,1.0,0
1363,colony-21940,7,0,1.0,0
1364,colony-21942,7,4,0.987,4
1365,colony-21946,7,3,0.975,3
1366,colony-21948,7,0,0.999,0
1367,colony-21949,7,0,1.0,0
1368,colony-21950,7,0,0.998,0
1369,colony-21965,7,4,0.968,3
1370,colony-21970,7,0,1.0,0
1371,colony-21971,7,3,1.0,3
1372,colony-21978,7,2,0.987,2
1373,colony-21989,7,4,1.0,4
1374,colony-21992,7,0,0.991,0
1375,colony-21995,7,4,1.0,4
1376,colony-21998,7,0,1.0,0
1377,colony-21999,7,0,0.999,0
1378,colony-22000,7,0,1.0,0
1379,colony-22001,7,0,1.0,0
1380,colony-22004,7,0,1.0,0
1381,colony-22005,7,7,0.998,7
1382,colony-22012,7,0,1.0,0
1383,colony-22013,7,3,0.999,3
1384,colony-22014,7,0,1.0,0
1385,colony-22015,7,0,1.0,0
1386,colony-22016,7,3,0.909,3
1387,colony-22017,7,0,1.0,0
1388,colony-22020,7,0,1.0,0
1389,colony-22021,7,0,1.0,0
1390,colony-22024,7,0,1.0,0
1391,colony-22025,7,0,0.891,0
1392,colony-22031,7,4,0.997,4
1393,colony-22033,7,0,1.0,0
1394,colony-22034,7,8,1.0,8
1395,colony-22035,7,3,1.0,3
1396,colony-22038,7,0,1.0,0
1397,colony-22039,7,3,1.0,3
1398,colony-22040,7,3,1.0,3
1399,colony-22042,7,0,1.0,0
1400,colony-22043,7,0,1.0,0
1401,colony-22044,7,3,1.0,3
1402,colony-22045,7,4,0.959,4
1403,colony-22047,7,3,1.0,3
1404,colony-22048,7,3,1.0,3
1405,colony-22051,7,0,1.0,0
1406,colony-22052,7,3,1.0,3
1407,colony-22053,7,2,0.999,2
1408,colony-22054,7,0,1.0,0
1409,colony-22057,7,0,0.998,0
1410,colony-22060,7,0,1.0,0
1411,colony-22061,7,3,1.0,3
1412,colony-22062,7,3,1.0,3
1413,colony-22065,7,0,1.0,0
1414,colony-22067,7,3,1.0,3
1415,colony-22069,7,2,1.0,2
1416,colony-22070,7,0,1.0,0
1417,colony-22073,7,3,1.0,3
1418,colony-22074,7,0,1.0,0
1419,colony-22077,7,3,1.0,3
1420,colony-22078,7,3,1.0,3
1421,colony-22079,7,2,1.0,2
1422,colony-22081,7,5,1.0,5
1423,colony-22082,7,0,1.0,0
1424,colony-22083,7,3,1.0,3
1425,colony-22085,7,3,1.0,3
1426,colony-22086,7,0,1.0,0
1427,colony-22089,7,0,1.0,0
1428,colony-22090,7,0,1.0,0
1429,colony-22091,7,0,1.0,0
1430,colony-22092,7,0,1.0,0
1431,colony-22093,7,4,0.988,4
1432,colony-22096,7,4,1.0,4
1433,colony-22098,7,0,1.0,0
1434,colony-22099,7,0,1.0,0
1435,colony-22100,7,3,1.0,3
1436,colony-22101,7,0,1.0,0
1437,colony-22103,7,0,1.0,0
1438,colony-22104,7,3,1.0,3
1439,colony-22105,7,0,1.0,0
1440,colony-22107,7,4,1.0,4
1441,colony-22108,7,3,1.0,3
1442,colony-22109,7,3,1.0,3
1443,colony-22111,7,0,0.677,0
1444,colony-22112,7,5,1.0,5
1445,colony-22113,7,0,1.0,0
1446,colony-22114,7,3,0.999,3
1447,colony-22115,7,3,1.0,3
1448,colony-22116,7,3,1.0,3
1449,colony-22117,7,3,1.0,3
1450,colony-22119,7,5,1.0,5
1451,colony-22122,7,5,1.0,5
1452,colony-22130,7,3,1.0,3
1453,colony-22131,7,8,0.999,8
1454,colony-22137,7,3,1.0,3
1455,colony-22138,7,3,0.998,3
1456,colony-22139,7,8,0.994,8
1457,colony-22140,7,0,1.0,0
1458,colony-22141,7,0,1.0,0
1459,colony-22151,7,5,0.998,5
1460,colony-22152,7,3,1.0,3
1461,colony-22154,7,0,1.0,0
1462,colony-22155,7,3,1.0,3
1463,colony-22156,7,3,1.0,3
1464,colony-22161,7,3,1.0,3
1465,colony-22162,7,3,0.909,3
1466,colony-22163,7,0,0.999,0
1467,colony-22174,7,0,1.0,0
1468,colony-22177,7,8,0.977,8
1469,colony-22178,7,0,1.0,0
1470,colony-22182,7,0,0.997,0
1471,colony-22187,7,0,1.0,0
1472,colony-22189,7,0,1.0,0
1473,colony-22190,7,0,1.0,0
1474,colony-22191,7,3,1.0,3
1475,colony-22192,7,0,1.0,0
1476,colony-22197,7,3,0.999,3
1477,colony-22198,7,3,1.0,3
1478,colony-22199,7,3,0.934,3
1479,colony-22200,7,0,1.0,0
1480,colony-22202,7,3,0.998,3
1481,colony-22204,7,0,1.0,0
1482,colony-22205,7,3,1.0,3
1483,colony-22206,7,5,1.0,5
1484,colony-22207,7,3,0.999,3
1485,colony-22208,7,0,0.81,0
1486,colony-22210,7,4,1.0,4
1487,colony-22213,7,7,0.998,7
1488,colony-22215,7,0,0.999,0
1489,colony-22217,7,0,1.0,0
1490,colony-22218,7,5,1.0,5
1491,colony-22219,7,0,1.0,0
1492,colony-22220,7,0,1.0,0
1493,colony-22221,7,3,1.0,3
1494,colony-22222,7,3,1.0,3
1495,colony-22227,7,0,1.0,0
1496,colony-22228,7,0,1.0,0
1497,colony-22231,7,3,1.0,3
1498,colony-22232,7,3,1.0,3
1499,colony-22233,7,5,0.999,5
1500,colony-22235,7,3,1.0,3
1501,colony-22236,7,0,1.0,0
1502,colony-22237,7,0,1.0,0
1503,colony-22238,7,2,1.0,2
1504,colony-22239,7,0,1.0,0
1505,colony-22240,7,3,0.991,3
1506,colony-22241,7,3,1.0,3
1507,colony-22246,7,0,1.0,0
1508,colony-22247,7,3,1.0,3
1509,colony-22248,7,4,0.992,4
1510,colony-22249,7,5,0.998,5
1511,colony-22251,7,3,1.0,3
1512,colony-22252,7,1,1.0,1
1513,colony-22256,7,5,1.0,5
1514,colony-22257,7,0,0.826,0
1515,colony-22258,7,3,1.0,3
1516,colony-22259,7,4,0.993,4
1517,colony-22269,7,0,1.0,0
1518,colony-22273,7,0,0.999,0
1519,colony-22279,7,0,0.997,0
1520,colony-22285,7,0,1.0,0
1521,colony-22286,7,1,1.0,1
1522,colony-22288,7,0,1.0,0
1523,colony-22290,7,0,1.0,0
1524,colony-22291,7,0,1.0,0
1525,colony-22292,7,0,1.0,0
1526,colony-22293,7,0,1.0,0
1527,colony-22295,7,3,0.999,3
1528,colony-22296,7,0,0.999,0
1529,colony-22299,7,0,1.0,0
1530,colony-22300,7,0,1.0,0
1531,colony-22303,7,0,1.0,0
1532,colony-22304,7,0,1.0,0
1533,colony-22305,7,6,1.0,6
1534,colony-22306,7,1,1.0,1
1535,colony-22307,7,0,0.966,0
1536,colony-22310,7,3,1.0,3
1537,colony-22313,7,1,1.0,1
1538,colony-22314,7,0,0.986,0
1539,colony-22316,7,5,0.92,5
1540,colony-22319,7,6,0.699,6
1541,colony-22320,7,0,1.0,0
1542,colony-22322,7,3,1.0,3
1543,colony-22323,7,0,1.0,0
1544,colony-22324,7,5,1.0,5
1545,colony-22325,7,0,1.0,0
1546,colony-22326,7,4,0.962,4
1547,colony-22327,7,0,1.0,0
1548,colony-22328,7,0,1.0,0
1549,colony-22329,7,0,1.0,0
1550,colony-22332,7,0,1.0,0
1551,colony-22333,7,0,1.0,0
1552,colony-22334,7,4,0.999,4
1553,colony-22336,7,0,1.0,0
1554,colony-22337,7,1,1.0,1
1555,colony-22338,7,0,1.0,0
1556,colony-22340,7,0,1.0,0
1557,colony-22341,7,0,0.996,0
1558,colony-22342,7,0,1.0,0
1559,colony-22343,7,0,1.0,0
1560,colony-22345,7,0,1.0,0
1561,colony-22346,7,0,0.999,0
1562,colony-22347,7,0,1.0,0
1563,colony-22351,7,0,1.0,0
1564,colony-22352,7,0,0.965,0
1565,colony-22353,7,0,1.0,0
1566,colony-22355,7,3,1.0,3
1567,colony-22356,7,0,1.0,0
1568,colony-22358,7,0,1.0,0
1569,colony-22359,7,5,1.0,5
1570,colony-22361,7,0,0.996,0
1571,colony-22363,7,0,1.0,0
1572,colony-22364,7,8,1.0,8
1573,colony-22367,7,0,1.0,0
1574,colony-22368,7,7,1.0,7
1575,colony-22375,7,0,0.983,0
1576,colony-22377,7,0,1.0,0
1577,colony-22380,7,0,0.999,0
