,Dim_0,Dim_1
internal_1297,-1987.788298662153,-1493.7598219681727
internal_1302,-2019.369409026507,-1528.23050032182
internal_1320,-1805.4407666169138,-1585.9297906869765
internal_1317,-1757.158156298413,-1557.368986603716
internal_1306,-1873.8290060153354,-1503.7550582942465
internal_1351,-1989.6319154997518,-1352.632837916851
internal_1353,-2031.445161223674,-1490.0591909267453
internal_1347,-2028.2460484317435,-1581.7130517696196
internal_1341,-2149.542988495997,-1319.0799011707713
internal_1331,-2138.7096720303007,-1287.6491718181494
internal_1337,-2071.164619032126,-1290.447125232748
internal_1338,-2072.1558775806584,-1299.1768403762808
internal_1254,-2086.2957642158976,-1378.638537741684
internal_1274,-2034.051412267857,-1373.3727542687668
internal_1269,-2070.786127713489,-1509.7419716373709
internal_1238,-1818.51293622122,-1535.352133319395
internal_1234,-1928.8193741129257,-1527.8986619090213
internal_1235,-1958.3562735529347,-1555.1782707359353
internal_1245,-1919.2335599183364,-1388.8986872495782
internal_1242,-1899.2322045524998,-1365.3032158475376
internal_1376,-1984.1060834784337,-1367.5109845777888
internal_1383,-2039.179397267917,-1331.5994197422872
internal_1378,-1973.9473530478422,-1384.971730529771
internal_1364,-1806.8027989349484,-1363.9619783552823
internal_1366,-1779.723513872102,-1458.2472738190106
internal_747,-1774.4124560969033,-1124.605917653925
internal_748,-1864.9629862562144,-1222.4989323851496
internal_750,-1890.780830543691,-1237.6632445869477
internal_744,-1928.3166595113996,-1120.0832528018916
internal_759,-1804.585123889656,-1520.961348175233
internal_760,-1848.795470119099,-1567.3160233790063
internal_835,-1782.942816391551,-1390.509173329239
internal_834,-1751.1274543424709,-1369.4478344649374
internal_852,-1774.5384670282808,-1381.869626384243
internal_880,-1772.8522922886943,-1369.7975564562475
internal_780,-1826.1016578532765,-1353.337098488328
internal_779,-1788.0605852435929,-1394.9746520909414
internal_802,-1828.6072924535426,-1401.4353437122866
internal_818,-1843.8618253222999,-1248.1014493534676
internal_777,-1728.7257759664594,-1288.454051831738
internal_775,-1732.0372258396806,-1298.4980227132926
internal_766,-1783.9080455475778,-1260.6886644103654
internal_770,-1828.1002666607599,-1317.103405213929
internal_729,-2082.194565449805,-1441.8560619420232
internal_732,-2067.6288587314816,-1504.837724645602
internal_709,-1857.8421425814058,-1434.224034538037
internal_706,-1828.0716884093968,-1423.5368728468134
internal_725,-2079.8973043779415,-1463.9252872495547
internal_943,-2002.706130497198,-1382.920237438479
internal_959,-2075.625224573334,-1334.6275179260085
internal_964,-2022.6008365172897,-1308.8682255525878
internal_927,-1969.996551753794,-1475.685858314865
internal_932,-1977.2598398160712,-1483.6672981613287
internal_921,-2118.547608824266,-1428.2054866052526
internal_920,-2146.1573992811086,-1411.4971927862887
internal_1009,-1933.9510930006618,-1125.0152574469212
internal_990,-2042.285580882035,-1239.228588329234
internal_982,-2049.0944038366647,-1248.4287856701064
internal_996,-2101.926446041822,-1220.9738646939136
internal_974,-1697.5426215355585,-1286.3019990442144
internal_977,-1798.2645172237949,-1154.7405370430881
internal_1003,-2033.2125114012015,-1286.1394702505397
internal_1001,-1849.5111391905234,-1118.8960853835501
internal_893,-1827.8847089154056,-1213.195584828065
internal_895,-1775.9561064644408,-1218.460886054307
internal_890,-2012.8972289332542,-1163.636209843978
internal_889,-2042.3639646479776,-1154.8947867994236
internal_908,-1983.7854902495974,-1422.4015168279232
internal_904,-2087.8946654316665,-1504.254764698575
internal_902,-2096.273005509751,-1486.9453614776269
internal_900,-2012.3893927297654,-1536.3065476219706
internal_1051,-1923.5962523261405,-1458.7056574952867
internal_1055,-1911.3862300282117,-1410.7564347024106
internal_1043,-1874.4143163878784,-1285.2288161685153
internal_1040,-1867.6944444113676,-1204.48217161997
internal_1033,-1902.645839006815,-1404.130576756885
internal_1034,-1894.3007998145083,-1479.1860046877457
internal_1030,-1878.6942549402695,-1320.5074574201012
internal_1031,-1886.7302385747957,-1339.649689589267
internal_1022,-1896.615434610065,-1254.455366919767
internal_1077,-2100.7019503007705,-1330.2430874381373
internal_1073,-1889.0275128863045,-1410.278280721608
internal_1074,-1892.719922845752,-1424.737649608498
internal_1067,-2114.235011134228,-1466.8923449504282
internal_1094,-1906.22618679298,-1511.188701203372
internal_1105,-1839.3930219155711,-1464.1910343892857
internal_1102,-1896.3372700420143,-1506.1809981440317
internal_1183,-1827.0823640357103,-1210.9890611832743
internal_1177,-1763.465424966802,-1253.2584142225753
internal_1196,-2044.9611157314275,-1165.3076191200166
internal_1197,-1997.549565309349,-1159.5803736171208
internal_1191,-1745.6523698059161,-1097.4217481330827
internal_1193,-1804.8347127180236,-1183.0745612210387
internal_1155,-2031.3046770196656,-1235.5580238992845
internal_1154,-2053.823695885519,-1259.5559319471229
internal_1165,-1983.629993212464,-1205.2356057869997
internal_1168,-1933.810534813299,-1188.8763966597207
internal_1211,-2154.5406026442247,-1380.2505382549298
internal_1293,-2027.9341305206747,-1298.152566438121
internal_1295,-2176.6552976009284,-1276.8647545976703
internal_1300,-1993.5177853207108,-1523.2696867274196
internal_1321,-1767.1545415812834,-1592.343136436324
internal_1322,-1815.0228258981158,-1587.6987152732527
internal_1318,-1741.3423555250902,-1543.159425516709
internal_1311,-1822.1850638265423,-1456.0493624365179
internal_1307,-1890.0252217161242,-1521.7459857456856
internal_1354,-2037.1699449777766,-1496.273173254151
internal_1334,-2101.779249223477,-1322.0867485644017
internal_1332,-2156.030695668561,-1270.6388331213825
internal_1258,-2094.0511254565495,-1389.1913167417429
internal_1255,-2068.7746085955837,-1381.2217075582594
internal_1278,-2030.5002364270526,-1363.8893962496763
internal_1275,-2056.8364848956053,-1377.9765242612284
internal_1273,-2061.2823293635834,-1596.6494793610975
internal_1270,-2074.605279776844,-1515.080903228538
internal_1236,-1950.0791617209898,-1553.4296343509168
internal_1246,-1919.2372691780654,-1394.2538606835756
internal_1243,-1843.8892827961204,-1331.1934507819637
internal_1379,-1988.0131511116272,-1406.9047250464976
internal_1381,-1970.4388249506187,-1384.4739397942737
internal_836,-1778.1251716057448,-1400.743934247452
internal_860,-1776.0896036025713,-1388.8839076518566
internal_853,-1738.6640267645255,-1303.0994356237188
internal_781,-1782.7979340414206,-1401.0744882685974
internal_803,-1827.4481807117309,-1421.5958322153483
internal_819,-1848.8390587162824,-1229.868354822475
internal_778,-1741.9262426974774,-1280.280215975897
internal_776,-1727.2614388461886,-1298.6187219350613
internal_767,-1779.4497746605273,-1265.672764558128
internal_771,-1791.5767628057433,-1325.8031783927156
internal_730,-2097.119038906539,-1452.7390682337602
internal_733,-2069.780799122221,-1532.835735842913
internal_734,-2107.234565289542,-1541.7155131706236
internal_710,-1843.7256385223661,-1454.9498874929932
internal_717,-1839.959489812993,-1373.1853407115784
internal_707,-1792.2866604593678,-1381.4326382487243
internal_727,-2067.780867646676,-1461.0502871577598
internal_726,-2094.0117514758217,-1475.1812007879118
internal_952,-1999.977790030388,-1378.4213038427874
internal_944,-2016.9233794574116,-1396.721415913323
internal_960,-2077.401314537532,-1351.858173042874
internal_965,-2076.2626748078783,-1321.3995353879172
internal_966,-2005.9399460745303,-1289.2760301917563
internal_928,-1989.145556386892,-1456.972918150349
internal_936,-2007.2367423744952,-1529.779369714972
internal_933,-1889.7514785900466,-1519.834355290491
internal_922,-2120.569921021344,-1427.5645932594598
internal_991,-2050.203101335924,-1235.3299273626496
internal_983,-2066.9648721491985,-1253.138542621571
internal_997,-2104.296182359893,-1221.2068623408363
internal_975,-1674.0241477515804,-1245.150429517736
internal_979,-1803.9236424488577,-1149.9298764154091
internal_978,-1742.963213247815,-1128.7455256714716
internal_894,-1797.6849219507296,-1179.9698551914958
internal_896,-1738.0938815119061,-1223.185684885601
internal_909,-1945.624815098709,-1434.3241082117747
internal_903,-2097.436523537956,-1515.1054976892856
internal_1053,-1925.5436470259162,-1475.8959705020084
internal_1052,-1919.6280305922776,-1480.8654749521882
internal_1044,-1867.2634174342652,-1298.5101860505667
internal_1041,-1864.1078900709806,-1193.5362085374716
internal_1036,-1897.398510785798,-1521.1320756904233
internal_1035,-1864.1009838188627,-1575.5251756720593
internal_1023,-1924.0798492766376,-1203.6478332085715
internal_1024,-1877.3232962444906,-1237.8349254487762
internal_1078,-2107.757911606031,-1337.1010600298498
internal_1082,-2107.905515618342,-1330.877038626416
internal_1095,-1937.34610675327,-1557.6609943115948
internal_1106,-1817.260434512974,-1453.9470097308263
internal_1104,-1919.305682593289,-1498.610645347362
internal_1103,-1907.5097610477508,-1536.382887911221
internal_1179,-1796.0889558862664,-1221.5050922105845
internal_1182,-1798.6524388077723,-1138.5465988689941
internal_1178,-1720.8855097696503,-1291.950571515934
internal_1198,-2018.1548888406717,-1163.3332882576697
internal_1199,-1944.6391457057878,-1139.4342759601657
internal_1192,-1740.9123962478898,-1091.8747598142704
internal_1194,-1794.1101206819064,-1152.6756954145342
internal_1167,-2034.3425301241296,-1221.6173739614617
internal_1301,-2000.9658139670412,-1533.4994533817808
internal_1323,-1819.1733191945693,-1591.3559773989166
internal_1319,-1667.4861252104952,-1505.0192676431807
internal_1314,-1779.5323128098767,-1425.2597408152344
internal_1312,-1814.336568112881,-1446.905925552375
internal_1308,-1918.606426912095,-1618.317895995799
internal_1309,-1904.2528690055992,-1533.0573456882719
internal_1355,-2044.2930201477086,-1512.7212125782198
internal_1335,-2044.1554884110008,-1300.5277341757355
internal_1333,-2139.0099757447865,-1235.8113938205975
internal_1259,-2104.485841588662,-1388.6249775634349
internal_1260,-2094.607397291537,-1419.1450180549564
internal_1256,-2043.7284732397777,-1395.456550995777
internal_1279,-2023.623521476153,-1354.5915035912442
internal_1283,-2023.2745042706792,-1249.9292982611123
internal_1276,-2102.774150809076,-1368.513547590067
internal_1277,-2038.425041631274,-1393.0015111250577
internal_1271,-2095.8297707969887,-1506.390534340669
internal_1247,-1946.735779233236,-1430.292704642941
internal_1244,-1910.8072111192794,-1419.2671756760203
internal_1380,-1991.6289521995773,-1404.0973269407712
internal_1382,-1958.0057864938406,-1382.6165385831337
internal_837,-1783.4021621121742,-1439.4868693204044
internal_876,-1786.0559147132658,-1387.854149474572
internal_861,-1774.563570891667,-1421.2380303254602
internal_854,-1787.7118590671469,-1115.5979439656546
internal_857,-1702.6442665209488,-1355.4508133894278
internal_789,-1783.8428172843205,-1404.5330475126557
internal_782,-1769.186608609229,-1398.681899790542
internal_804,-1824.5198299572664,-1426.6466208195723
internal_820,-1849.0438827944408,-1222.2916688801156
internal_829,-1863.2592640011164,-1243.8636875192544
internal_768,-1785.041608541549,-1325.4752992400993
internal_731,-2092.3385651629615,-1509.8649327983367
internal_713,-1833.3708291755956,-1452.3379141710882
internal_711,-1841.8567560815927,-1493.644234336632
internal_718,-1837.1572499918025,-1370.4558544606132
internal_708,-1770.8647945663934,-1346.2728684388117
internal_956,-1959.8951721197498,-1366.5259520092702
internal_953,-2049.854924085563,-1385.186679070261
internal_945,-2045.5543925766274,-1359.2337711853345
internal_949,-2031.313023086888,-1448.1278576710479
internal_961,-2085.163789851706,-1357.397792648852
internal_968,-2000.5688413588318,-1237.5845213226314
internal_967,-1957.0728264695256,-1347.8513741485658
internal_929,-2026.551014869963,-1463.9515108615362
internal_937,-2003.5013236495854,-1547.1952662416436
internal_939,-2031.8626291108753,-1552.9142162832868
internal_934,-1884.5647271660125,-1510.2921287730721
internal_923,-2123.8764815479867,-1422.9664765750147
internal_925,-2118.286002400216,-1431.3805465387845
internal_992,-2065.329133950874,-1228.5100072960429
