,Dim_0,Dim_1
internal_1086,-1906.4660654276463,-1383.0965126042802
internal_875,-1962.7552618961565,-1279.254320020712
internal_706,-1929.9687099501298,-1292.7464241613643
internal_992,-1910.8944321951049,-1250.3301317825292
internal_988,-1939.156570699662,-1325.580022448279
internal_1011,-1888.8286148306788,-1173.6836892337883
internal_1029,-1860.0256944795858,-1171.6963149013143
internal_1237,-2038.7025217887126,-1452.503933906121
internal_1228,-1923.8607534730352,-1478.5716163305708
internal_1213,-1957.120212623771,-1343.5433077934315
internal_1214,-1891.545261730922,-1401.8567642335834
internal_1234,-2035.0555414931353,-1521.055281817043
internal_741,-1742.0411893933501,-1379.943293788176
internal_733,-1857.5372391960532,-1524.8029637190555
internal_749,-1776.784322342915,-1379.1421039335532
internal_753,-1808.3023532311763,-1388.184308918534
internal_760,-1730.2368634468512,-1268.3576749302974
internal_775,-1716.490502388924,-1442.6410540450713
internal_770,-1780.0165753630974,-1456.7121467226864
internal_783,-1804.19811889833,-1534.339914256099
internal_782,-1797.118718740904,-1528.2540519763813
internal_797,-1747.635782490974,-1299.753506581501
internal_793,-1819.8306249006525,-1321.3235932329699
internal_789,-1785.2265274769723,-1327.6001363940707
internal_815,-1786.7134370221918,-1386.6261387979332
internal_806,-1762.1010155175773,-1384.5560283156376
internal_817,-1775.1001307022284,-1413.260719298891
internal_818,-1857.108587491253,-1478.1802124329217
internal_840,-1852.1410082696011,-1200.815505498548
internal_851,-1866.3753200853992,-1233.7002193425883
internal_826,-1811.1238452082043,-1391.2393452372478
internal_831,-1875.5085171805215,-1505.9767314630867
internal_928,-1979.9370104816803,-1527.81459262776
internal_937,-2120.1195410986975,-1434.1029716704074
internal_935,-2120.6897530787096,-1459.9713710136568
internal_969,-2047.4447667115132,-1374.8668236430988
internal_963,-1959.1422507032694,-1364.8841724385602
internal_975,-2035.0258953942457,-1447.6871441914952
internal_971,-2045.8254561743406,-1365.6568969148416
internal_925,-2063.8582937985957,-1367.043848241381
internal_960,-1966.070614381551,-1331.316263482881
internal_958,-1995.0993319015124,-1217.1702911546106
internal_979,-2089.055723279682,-1373.436741772022
internal_951,-1986.3895676427535,-1130.3431059990576
internal_953,-1958.157205531739,-1133.8452858612898
internal_727,-1830.7410209831644,-1165.365875913063
internal_714,-1722.1613590337233,-1200.154156309944
internal_728,-1871.1710424343441,-1117.8991659226697
internal_725,-1923.7928748446657,-1125.8271263623483
internal_1268,-1829.3962588572742,-1356.9741237872113
internal_1262,-1832.826603116104,-1365.2499176343263
internal_1265,-1874.7632024353438,-1568.3214588863123
internal_1276,-2093.5252111426908,-1510.0413621727587
internal_1251,-2103.8305969563894,-1455.5647711516929
internal_1384,-1967.1196108860918,-1196.5682042695094
internal_1387,-1909.8056883178492,-1285.95277357799
internal_1302,-2028.9807458874575,-1427.6845664227753
internal_1301,-2082.74385532917,-1419.2265248882832
internal_1312,-1887.849043026323,-1447.5254745719963
internal_1289,-2074.503316325119,-1283.3801930338195
internal_1287,-1963.4238471805509,-1332.7107075893416
internal_1357,-1931.7782234147821,-1429.6735405175764
internal_1354,-1891.7029570704228,-1323.991399054776
internal_1045,-2007.3058859837076,-1383.2643515917996
internal_1048,-2022.169467148968,-1430.483400518493
internal_1119,-1965.1587021278874,-1373.5306582292933
internal_1108,-1969.741345275625,-1338.721987902449
internal_1103,-1926.027692642218,-1526.464473379471
internal_1087,-1890.265895281464,-1453.1956028375137
internal_1104,-1891.2513769381164,-1403.048733494059
internal_1088,-1899.71263269213,-1368.3702546956495
internal_855,-1974.544780307357,-1269.8017912630555
internal_893,-1905.6206923176956,-1235.9854806611334
internal_866,-1925.5188735591353,-1324.534922545415
internal_999,-1935.4786435239719,-1182.0523309399268
internal_990,-1860.1023843109422,-1237.1733385336506
internal_1143,-1941.4302104430965,-1404.5198238367548
internal_1042,-1946.6240874888992,-1286.6028729881664
internal_1012,-1913.121730213847,-1159.467507789294
internal_1040,-1825.9873119119206,-1153.469181375226
internal_1030,-1854.129787096957,-1158.9053925679684
internal_1240,-2076.6080776664176,-1428.270971752721
internal_1229,-1876.0844643383375,-1517.47044125327
internal_1223,-1993.068064466694,-1370.4573494557649
internal_1221,-1865.9534462136955,-1415.2406614566003
internal_1216,-1900.4364533538687,-1367.3518944929249
internal_1244,-1918.6195572736508,-1523.0760696323762
internal_1236,-2087.005237392281,-1525.82207864197
internal_742,-1721.4008989008746,-1385.0509509099963
internal_734,-1874.191305972609,-1561.1864926517974
internal_755,-1841.8829247376302,-1477.2579782580979
internal_763,-1775.633513503882,-1133.2613411002606
internal_762,-1658.8042586549805,-1378.9102444701414
internal_777,-1692.9088695526125,-1491.2880048839452
internal_776,-1719.092812858489,-1391.1002544193007
internal_768,-1784.2052831231351,-1461.9609078668234
internal_773,-1780.8797567169163,-1468.0799210937005
internal_784,-1802.6225190808966,-1523.5115917089931
internal_799,-1740.2405085404737,-1300.5404752574455
internal_802,-1724.1268576782265,-1283.5754151415842
internal_795,-1832.9789214366092,-1322.0662807704302
internal_794,-1797.1734986419508,-1325.010540982259
internal_814,-1766.9101337914585,-1473.4543028631117
internal_809,-1757.054774482817,-1360.905162006226
internal_819,-1878.0015624134637,-1501.1445396235845
internal_848,-1852.225048420966,-1197.8951704102128
internal_841,-1842.0516290697722,-1118.5953937588408
internal_852,-1877.345090181153,-1243.2524701671955
internal_836,-1785.8569560235826,-1354.7872106637953
internal_828,-1829.2127100003522,-1455.465802991021
internal_830,-1875.5370288914364,-1536.2312164852656
internal_942,-1982.89274759394,-1548.218326154948
internal_934,-1976.6718070541374,-1532.5162210555945
internal_940,-2123.6642932091945,-1415.5186605328045
internal_968,-2054.5393918789077,-1384.2639599814029
internal_964,-1824.699140253506,-1368.1547579781586
internal_976,-2040.0592915955328,-1458.3346281047463
internal_974,-2135.914898619492,-1326.214058061095
internal_972,-2030.7960251569434,-1362.518569843735
internal_980,-2086.6350933262856,-1374.2611779059223
internal_952,-1993.078065048522,-1114.7381651781955
internal_949,-1956.7560224235674,-1121.6677281827306
internal_948,-1984.2725745881373,-1124.205073923058
internal_718,-1835.9902220035103,-1178.8335583525927
internal_730,-1803.4447321482803,-1096.0971762991492
internal_715,-1703.2465975213786,-1206.6253926284855
internal_729,-1867.2107383171028,-1116.391871061185
internal_726,-1958.9124760401457,-1129.4993397048836
internal_1250,-2077.4164829848924,-1462.2421364124452
internal_1388,-1902.5749951706243,-1264.1673997920118
internal_1305,-2029.7195068233864,-1425.2231062615815
internal_1303,-2020.915757602857,-1448.1380465833142
internal_1307,-2109.0935795181767,-1435.0159377546865
internal_1328,-1851.842303159529,-1417.9088994425138
internal_1321,-1884.3740722477492,-1459.5277851412416
internal_1295,-2128.3633877495863,-1330.8859859134232
internal_1290,-1904.2494829638986,-1373.5000356595713
internal_1359,-1933.9969497872924,-1433.7283711103694
internal_1358,-1933.198998644243,-1457.6588576299555
internal_1368,-1882.0257321054228,-1289.3946261413953
internal_1334,-1885.2034546734378,-1324.4253877906049
internal_1082,-2014.3160681531563,-1376.3190081975476
internal_1050,-2016.8608265555608,-1403.5314961214358
internal_1049,-2038.9989916843504,-1350.670960630053
internal_1116,-1989.3735262563043,-1371.3816079363066
internal_1117,-1915.1749064083806,-1364.2458047106827
internal_1109,-1962.0799636044417,-1351.4660583783223
internal_1100,-1943.2684242215078,-1542.1254390413226
internal_1096,-1886.827023343223,-1475.5831730187597
internal_1093,-1898.855727253875,-1364.8552872105715
internal_1090,-1900.8372752830792,-1387.96101875127
internal_865,-2033.813972729166,-1258.171674643048
internal_864,-1934.6540637515843,-1270.1423116332153
internal_895,-1879.9623721575606,-1211.9873274551055
internal_702,-1923.6739246276593,-1341.8180080526392
internal_703,-1927.4012893340926,-1276.6246024981226
internal_1018,-1967.8477558450209,-1166.7707476293135
internal_1016,-1793.5840886939009,-1235.3340159759855
internal_998,-1876.9692013897775,-1232.6887143576416
internal_1144,-1929.7144428110619,-1439.914796743782
internal_1183,-2001.3085017087558,-1441.9412392985773
internal_1182,-2000.3408377338303,-1266.1280855213802
internal_1124,-1923.7088537367013,-1233.7639704724475
internal_1036,-1823.274578320773,-1147.8464338670638
internal_1032,-1867.4674776712802,-1142.9687135349059
internal_1035,-1843.063086267782,-1159.7397285362576
internal_1238,-2055.622748968174,-1473.799355562029
internal_1239,-2105.567400706566,-1394.0596733010966
internal_1230,-1872.7617595948366,-1514.8346517608288
internal_1217,-1826.4235440530604,-1392.873815412368
internal_1222,-1841.9285922952042,-1498.2480577153208
internal_1215,-1873.2700597202781,-1403.8879083697086
internal_1245,-1991.6725726686304,-1549.173832315406
internal_744,-1720.7929395313433,-1383.5199891523375
internal_745,-1702.0471208889069,-1400.7984421532335
internal_735,-1880.5504423452576,-1564.593000405528
internal_737,-1850.8965326903533,-1575.1889768759565
internal_754,-1877.3924470234647,-1447.144211759422
internal_764,-1795.3929280502582,-1101.037461370757
internal_774,-1699.4304347355421,-1392.194053466921
internal_769,-1795.5438463644896,-1463.643560050538
internal_771,-1782.4314777372408,-1469.0457674782128
internal_778,-1729.4611730115532,-1420.0420843788027
internal_798,-1733.1590881243349,-1310.7799475871545
internal_800,-1737.4579103870199,-1290.5482480075495
internal_820,-1749.3756160584153,-1470.1365228797824
internal_810,-1742.158095489669,-1331.6198316692714
internal_808,-1768.5661127047504,-1359.8304966115334
internal_844,-1857.0150406666846,-1185.5622596408662
internal_845,-1846.410867234042,-1167.9877451290743
internal_837,-1774.771597922985,-1337.19667784683
internal_834,-1868.4050367120908,-1536.016748913828
internal_832,-1932.121726602156,-1636.016070030488
internal_932,-2010.5866690769933,-1552.0055326259305
internal_936,-2122.452962571138,-1416.4660210558875
internal_977,-2043.5203443171904,-1460.2723303778655
internal_973,-2056.3846137440282,-1343.6875174076206
internal_719,-1814.4996273074626,-1165.5693613999426
internal_722,-1857.8258619229082,-1208.3388124930489
internal_1252,-2064.1723759812994,-1459.4574879353495
internal_1306,-2052.7966714734425,-1416.8876480240776
internal_1304,-1993.9804980471797,-1464.2749093779926
internal_1308,-2125.6763437149402,-1439.7374588359428
internal_1310,-2157.6520764879956,-1482.4038912451235
internal_1330,-1865.8987782918161,-1407.638399932198
internal_1329,-1754.8821968859938,-1400.8529701790333
internal_1322,-1842.6468447152026,-1453.4193894579728
internal_1318,-1893.9005695249018,-1481.7016025569694
internal_1294,-2135.2584564987205,-1336.7019220591449
internal_1291,-1891.0688966058265,-1404.6214728117448
internal_1361,-1926.4598170081663,-1442.3326699717288
internal_1360,-1977.1440988065408,-1395.9489059797656
internal_1367,-1946.4837568758787,-1576.7860412397777
internal_1369,-1891.477748002911,-1263.5512572419868
internal_1349,-1877.0081606712904,-1299.6659344737047
internal_1333,-1881.1709021322922,-1333.1801735239978
internal_1069,-1967.6841603484008,-1334.4942360980854
internal_1068,-2024.4078474306561,-1378.0933082291176
internal_1067,-2041.6856910321922,-1379.3059148704808
internal_1120,-1998.4914945979476,-1363.290519329869
internal_1118,-1985.761210924536,-1385.7690114951254
internal_1101,-1964.8697381606437,-1583.2688486706713
internal_1102,-1874.2607699598075,-1475.2020154315896
internal_1089,-1937.596171110476,-1363.6059241850394
internal_1091,-1902.85527847482,-1389.081446503899
