,Dim_0,Dim_1
internal_1448,-2016.894235859749,-1429.8166612307712
internal_1461,-2114.3095439580293,-1407.3172004258395
internal_1476,-2038.8083597740797,-1329.3644315647934
internal_1486,-2021.132190345056,-1326.0805995118478
internal_1497,-1957.3721303368925,-1153.490558720456
internal_1493,-2015.127145325297,-1192.0870758516398
internal_1400,-1783.0724492323557,-1458.110249705099
internal_1398,-1825.400149154753,-1437.5889291527496
internal_1392,-1928.938203005942,-1517.9759521756266
internal_1391,-1850.1150590939226,-1170.9470633730539
internal_1376,-1841.6972740599408,-1239.1944194318637
internal_1378,-1868.415648611929,-1226.261043150762
internal_1370,-1825.721013043439,-1451.28554933927
internal_1372,-1810.3731116548527,-1445.8100959118337
internal_1365,-1803.4864143883794,-1488.1768813300605
internal_1367,-1825.1136451811797,-1511.2233156697062
internal_1632,-1849.998719157449,-1150.7963523142475
internal_1627,-1838.2269645199483,-1193.9969916527164
internal_1621,-1822.9158628844577,-1276.0624080843277
internal_1553,-1752.1658372552945,-1306.0056728957948
internal_1538,-1754.475448728817,-1367.542607743955
internal_1533,-1861.8856026228557,-1401.0064556794055
internal_1532,-1808.891244775621,-1386.3867531219541
internal_1536,-1810.3222507765636,-1470.7429198315
internal_1617,-1728.598223210099,-1410.8776078600781
internal_1616,-1801.7510109075688,-1491.3029304432414
internal_1572,-1761.8495422313524,-1338.9282885767673
internal_1567,-1756.790096206481,-1452.8371022058068
internal_1578,-1808.6016937097331,-1352.9266460231274
internal_1576,-1796.4624802696098,-1315.597383973143
internal_1582,-1757.5341951329917,-1386.8936230914774
internal_1564,-1740.4789893140357,-1314.5023190068673
internal_1609,-1846.1830015677237,-1365.1336345366037
internal_1604,-1801.6031834610583,-1354.781288930501
internal_1092,-1946.0907492734434,-1415.0947971368917
internal_1077,-1920.592030894391,-1456.6353044805596
internal_1073,-1973.3350850197432,-1405.9613750543942
internal_1058,-1938.867928242993,-1460.1928896384675
internal_1050,-1957.588777490565,-1414.5598327653195
internal_995,-2026.648425605589,-1404.2760354503378
internal_1029,-1905.075042563396,-1480.768886641678
internal_1016,-1953.8202661713613,-1418.0488329990026
internal_1108,-1976.2072767063257,-1495.9887045206451
internal_1109,-2038.484668448669,-1390.9404037235968
internal_1122,-1878.8360394034707,-1441.669896788456
internal_1120,-2059.2331902044925,-1399.3200118415964
internal_1131,-1808.9881564828881,-1279.356459747471
internal_1139,-1916.3824274127232,-1248.6155549012028
internal_1199,-1865.5067935725513,-1188.4815936778245
internal_1208,-1841.7668681168145,-1187.4183140410685
internal_1228,-1949.0534168115616,-1207.9612864283447
internal_1236,-1933.329204192631,-1214.5148513501706
internal_1166,-1984.9749063248435,-1339.894591546167
internal_1167,-1987.486641526137,-1376.4270796597184
internal_1157,-1877.0974141294712,-1186.4063603433506
internal_1144,-1913.4920455799545,-1244.0451682826856
internal_1255,-1935.4827521060558,-1385.4667840542802
internal_1266,-1902.6011441829658,-1343.2937544895924
internal_1252,-1965.8355254314781,-1368.762487790482
internal_1247,-1961.2732159296677,-1381.0147837825753
internal_1277,-2016.3482246955468,-1404.8091586767807
internal_1269,-1950.397112028052,-1439.461085686377
internal_1294,-2035.275257157007,-1401.1545600260138
internal_1293,-2051.7200364265827,-1358.607459449712
internal_843,-1978.158977593417,-1196.8420266708345
internal_938,-1875.0231991606702,-1494.3102139347238
internal_952,-1863.8228266936903,-1480.76654014241
internal_946,-1949.6030793135478,-1560.4225314277435
internal_878,-1905.2826482419018,-1364.9439192206316
internal_877,-1893.4087468366408,-1344.353238047631
internal_868,-1900.6767939983606,-1375.534539743965
internal_871,-1926.7633273773245,-1474.300961821147
internal_919,-1907.1325332511574,-1512.4411552575925
internal_917,-1919.5423798567172,-1371.8666195497524
internal_913,-1905.1662300910739,-1272.199273967022
internal_1523,-1773.1301230724005,-1188.660797848066
internal_1516,-2021.35775733489,-1248.9126989197875
internal_1512,-1972.6774920857392,-1222.1287161986018
internal_1444,-2060.7108738606316,-1226.6807110120533
internal_1435,-2058.7669382648305,-1235.1710199087236
internal_1434,-1881.5929591810827,-1362.576273492813
internal_1439,-2065.9769228026007,-1260.8041638379468
internal_1443,-2047.9611514441167,-1237.4692216926062
internal_1420,-2019.1457457633776,-1421.0433103986995
internal_1409,-2003.3454832052782,-1429.8080172145314
internal_1416,-1990.1035131318963,-1363.0869919443414
internal_1424,-1863.5556145892524,-1204.6409705274473
internal_1425,-1853.3804737696948,-1121.594018569035
internal_1467,-2001.56043861383,-1450.1503428000349
internal_1470,-2046.777902821291,-1479.3196664655177
internal_1464,-2124.6444915010525,-1437.9981414328438
internal_1463,-2142.068176622822,-1455.8236179179767
internal_1477,-2036.393787728206,-1328.9376677745704
internal_1483,-2059.7759691407787,-1349.155669578418
internal_1487,-2043.590800940999,-1348.9182741665898
internal_1498,-2002.3790776419064,-1132.1854092063336
internal_1494,-2038.2023598394485,-1196.6165643526747
internal_1377,-1821.6247101824104,-1219.297162297656
internal_1371,-1860.3922445238532,-1525.3523263020454
internal_1368,-1856.0537076342296,-1566.4084160479777
internal_1629,-1842.5666949896226,-1170.7966300861005
internal_1622,-1823.7231284645297,-1304.1952509086254
internal_1554,-1741.7447349290644,-1289.5197873761401
internal_1555,-1730.5416667360944,-1293.030392086171
internal_1540,-1739.8001268565524,-1394.193678374678
internal_1534,-1850.1458640292935,-1465.7565093137284
internal_1573,-1789.432192335628,-1351.2060083335732
internal_1569,-1759.64115712303,-1474.665705220398
internal_1571,-1711.632669015086,-1423.2633189665473
internal_1584,-1807.2023107745135,-1377.6181851518731
internal_1579,-1825.0196877909393,-1338.666121282966
internal_1594,-1876.2848739633384,-1179.3100859649842
internal_1595,-1697.8340840845026,-1392.7057537135902
internal_1583,-1717.6943151598377,-1361.769606485651
internal_1565,-1717.7468352471637,-1260.0466592033122
internal_1094,-1938.38097302147,-1401.8333020909515
